Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,CC/AM,CC/CBD,Active_Surface
41.0,94.0,6.0,48.0,50.0,50.0,85.9,1.0,10.282,1.9,35.589999999999996,19.82,50.080000000000005
41.0,94.0,6.0,49.0,50.0,50.0,84.5,1.0,10.52,1.892,36.88,19.51,49.69
41.0,94.0,6.0,50.0,50.0,50.0,83.1,1.0,10.836,1.8760000000000001,36.69,19.53,49.300000000000004
41.0,95.0,5.0,45.0,50.0,50.0,91.0,1.0,6.502,2.038,38.08,15.440000000000001,56.269999999999996
41.0,95.0,5.0,46.0,50.0,50.0,89.6,1.0,7.175000000000002,1.985,35.58,16.36,54.39999999999999
41.0,95.0,5.0,47.0,50.0,50.0,88.2,1.0,7.329000000000001,1.975,36.29,16.840000000000003,54.0
41.0,95.0,5.0,48.0,50.0,50.0,86.8,1.0,8.315000000000001,1.9300000000000002,36.279999999999994,17.26,52.2
41.0,95.0,5.0,49.0,50.0,50.0,85.3,1.0,8.343,1.9139999999999997,34.89,17.779999999999998,51.8
41.0,95.0,5.0,50.0,50.0,50.0,83.9,1.0,9.899,1.879,38.290000000000006,17.13,50.0
41.0,96.0,4.0,45.0,50.0,50.0,91.9,1.0,5.9030000000000005,2.034,37.269999999999996,13.61,57.10000000000001
41.0,96.0,4.0,46.0,50.0,50.0,90.5,1.0,6.093999999999999,2.019,37.6,13.330000000000002,56.69
41.0,96.0,4.0,47.0,50.0,50.0,89.0,1.0,6.145,2.0010000000000003,38.339999999999996,13.61,56.21
41.0,96.0,4.0,48.0,50.0,50.0,87.6,1.0,6.831999999999999,1.9569999999999996,38.92,13.91,54.389999999999986
41.0,96.0,4.0,49.0,50.0,50.0,86.2,1.0,6.954000000000001,1.9449999999999998,40.11,13.790000000000001,53.96999999999999
41.0,96.0,4.0,50.0,50.0,50.0,84.8,1.0,7.813,1.8980000000000001,39.48,14.15,52.10000000000001
51.0,93.0,7.0,45.0,50.0,50.0,90.1,1.0,8.193999999999999,2.024,32.29,21.139999999999997,53.89999999999999
51.0,93.0,7.0,46.0,50.0,50.0,88.7,1.0,9.238999999999999,1.9789999999999999,33.35000000000001,21.36,52.2
51.0,93.0,7.0,47.0,50.0,50.0,87.4,1.0,9.33,1.968,33.87,21.319999999999997,51.889999999999986
51.0,93.0,7.0,48.0,50.0,50.0,86.0,1.0,9.661999999999999,1.952,32.35,21.740000000000002,51.5
51.0,93.0,7.0,49.0,50.0,50.0,84.7,1.0,11.489999999999998,1.918,32.720000000000006,21.97,49.800000000000004
51.0,93.0,7.0,50.0,50.0,50.0,83.3,1.0,11.28,1.903,33.22,21.85,49.5
51.0,94.0,6.0,45.0,50.0,50.0,90.9,1.0,7.457000000000001,2.0170000000000003,32.650000000000006,18.869999999999997,54.8
51.0,94.0,6.0,46.0,50.0,50.0,89.6,1.0,7.612,2.018,33.709999999999994,18.93,54.39999999999999
51.0,94.0,6.0,47.0,50.0,50.0,88.2,1.0,7.853999999999999,2.003,34.230000000000004,19.05,54.0
51.0,94.0,6.0,48.0,50.0,50.0,86.9,1.0,8.626999999999999,1.9600000000000002,35.190000000000005,19.55,52.3
51.0,94.0,6.0,49.0,50.0,50.0,85.5,1.0,8.758000000000001,1.9470000000000003,35.660000000000004,19.1,51.92999999999999
51.0,94.0,6.0,50.0,50.0,50.0,84.1,1.0,9.06,1.937,36.35,19.259999999999998,51.60000000000001
51.0,95.0,5.0,45.0,50.0,50.0,91.8,1.0,6.159000000000001,2.056,35.230000000000004,15.920000000000002,57.0
51.0,95.0,5.0,46.0,50.0,50.0,90.4,1.0,6.3759999999999994,2.0469999999999997,35.87,16.15,56.60000000000001
51.0,95.0,5.0,47.0,50.0,50.0,89.1,1.0,6.502,2.038,34.37,16.5,56.239999999999995
51.0,95.0,5.0,48.0,50.0,50.0,87.7,1.0,7.133,1.9829999999999999,34.31,17.009999999999998,54.5
51.0,95.0,5.0,49.0,50.0,50.0,86.3,1.0,7.352000000000001,1.9770000000000003,34.790000000000006,16.949999999999996,54.10000000000001
51.0,95.0,5.0,50.0,50.0,50.0,85.0,1.0,8.264,1.9309999999999998,33.64,17.95,52.32000000000001
51.0,96.0,4.0,45.0,50.0,50.0,92.6,1.0,5.372999999999999,2.089,36.57,12.78,59.339999999999996
51.0,96.0,4.0,46.0,50.0,50.0,91.3,1.0,5.422,2.069,36.230000000000004,13.440000000000001,58.919999999999995
51.0,96.0,4.0,47.0,50.0,50.0,89.9,1.0,5.934,2.0300000000000002,36.06999999999999,13.669999999999998,57.10000000000001
51.0,96.0,4.0,48.0,50.0,50.0,88.5,1.0,5.927999999999999,2.016,37.07,14.069999999999999,56.7
51.0,96.0,4.0,49.0,50.0,50.0,87.2,1.0,6.1370000000000005,2.0079999999999996,38.31,13.13,56.39
51.0,96.0,4.0,50.0,50.0,50.0,85.8,1.0,6.706999999999999,1.959,37.68,14.180000000000001,54.5
61.0,93.0,7.0,45.0,50.0,50.0,90.9,1.0,7.794000000000001,2.0559999999999996,30.979999999999997,21.389999999999997,54.81
61.0,93.0,7.0,46.0,50.0,50.0,89.6,1.0,8.053999999999998,2.0379999999999994,31.7,21.169999999999998,54.5
61.0,93.0,7.0,47.0,50.0,50.0,88.3,1.0,8.068000000000001,2.027,32.44,21.240000000000002,54.2
61.0,93.0,7.0,48.0,50.0,50.0,87.1,1.0,8.236,2.0200000000000005,34.57000000000001,20.79,53.889999999999986
61.0,93.0,7.0,49.0,50.0,50.0,85.8,1.0,9.193000000000001,1.9780000000000002,34.190000000000005,20.86,52.27
61.0,93.0,7.0,50.0,50.0,50.0,84.5,1.0,9.447999999999999,1.9700000000000002,33.74,21.089999999999996,52.0
61.0,94.0,6.0,45.0,50.0,50.0,91.8,1.0,6.609999999999999,2.0900000000000003,32.989999999999995,18.13,57.09000000000001
61.0,94.0,6.0,46.0,50.0,50.0,90.5,1.0,6.601000000000001,2.0789999999999997,32.45,18.629999999999995,56.7
61.0,94.0,6.0,47.0,50.0,50.0,89.2,1.0,6.786,2.0700000000000003,32.29,18.54,56.39999999999999
61.0,94.0,6.0,48.0,50.0,50.0,87.9,1.0,7.467999999999999,2.0249999999999995,33.31,18.990000000000002,54.7
61.0,94.0,6.0,49.0,50.0,50.0,86.6,1.0,7.5760000000000005,2.0149999999999997,36.02,18.689999999999998,54.39999999999999
